 Start Date, Class, Hedge Type, Number Of Hours, Bid MW, Bid Price,Bid MWHs,Bid MWHs Bid Price, Awarded Mw, Clearing Price,Awarded MWHs,Awarded MWHs Clearing Price,Weighted Avg Bid Price,Weighted Avg Clear Price,Auction
6/1/2021,SELL,OBL,905088,11871.8,9836.46,2903204.8,4372363.568,3307,1176.917336,783488,982759.5266,1.254338964,1.506047237,2021_06_JUN
6/1/2021,SELL,OPT,6835536,110242.8,1624517.43,26844436.8,67602364.75,48900.1,26619.00458,11881657.6,9496744.434,0.79927774,2.518300729,2021_06_JUN
7/1/2021,BUY,OBL,19120792,223041.3,-111607.23,55973107.2,-3299323.968,78065.7,61881.05953,19408491.2,8751935.283,0.450933315,-0.058944806,2021_07_JUL
7/1/2021,BUY,OPT,21657128,965684.4,61547.37,242215223.2,77986301.76,75020.7,204133.2102,18586213.6,11532099.32,0.620465231,0.3219711,2021_07_JUL
7/1/2021,SELL,OBL,968888,8474.4,8380.88,2086832,5651651.216,1821.6,2022.543604,467596.8,660705.4267,1.41298107,2.708244466,2021_07_JUL
7/1/2021,SELL,OPT,6962936,109926.1,1339083.53,27481699.2,55954187.94,37175.8,21661.15503,9284832.8,4996713.006,0.538158642,2.036052703,2021_07_JUL
8/1/2021,BUY,OBL,18859200,235248.7,-2411120.59,58978885.6,-598040056.7,74024.6,70336.08663,18549835.2,7318753.029,0.394545447,-10.13990093,2021_08_AUG
8/1/2021,BUY,OPT,17600640,793600.5,42005.42,197483588.8,60167003.46,72468.1,347882.547,17786833.6,8357487.229,0.46986931,0.304668372,2021_08_AUG
8/1/2021,SELL,OBL,982648,8802.3,8504.85,2141266.4,5109446.976,1787.7,-1508.354899,437130.4,172386.3839,0.394359175,2.386179962,2021_08_AUG
8/1/2021,SELL,OPT,7749952,124088.9,1344911.23,31123747.2,55850225.66,35154.7,22605.77959,8843789.6,4254501.277,0.481072195,1.794456988,2021_08_AUG
9/1/2021,BUY,OBL,21052416,289746,-11973071.59,70839878.4,-793236771.4,78560.5,94671.80068,18959947.2,6791295.811,0.358191705,-11.1976021,2021_09_SEP
9/1/2021,BUY,OPT,28606032,1258922,87881.81,305258832,93735139.01,84233.4,320848.8556,20056819.2,10634937.09,0.530240462,0.307067738,2021_09_SEP
9/1/2021,SELL,OBL,945072,10244.4,9262.32,2437785.6,4713819.408,3316.6,2137.236071,769334.4,1324699.007,1.721876737,1.933648065,2021_09_SEP
9/1/2021,SELL,OPT,7354608,130108.7,56752.47,31535630.4,29047693.82,47661.5,28793.95799,11537505.6,8493510.732,0.736165253,0.921107124,2021_09_SEP
10/1/2021,BUY,OBL,19815640,304372.2,-3154102.52,76360688.8,-759176600.1,84004.1,83809.68131,20648533.6,12248006.03,0.5931659,-9.941982085,2021_10_OCT
10/1/2021,BUY,OPT,27886320,1155656.1,104032.22,290074752.8,111791249.4,68853.6,347001.6307,17101688,13210893.17,0.772490597,0.385387726,2021_10_OCT
10/1/2021,SELL,OBL,936808,11910.5,7643.18,2891746.4,5796490.496,4362.2,568.694639,1062483.2,1274967.567,1.199988449,2.004494757,2021_10_OCT
10/1/2021,SELL,OPT,7554824,135080.3,59139.49,33921003.2,35149264.54,56156.5,34127.69941,14070648,12255836.94,0.871021501,1.036209464,2021_10_OCT
11/1/2021,BUY,OBL,14539208,254007,-4150445.42,61922988,-951082675.1,75169.5,115052.588,17847811.1,16526837.64,0.925986809,-15.35912116,2021_11_NOV
11/1/2021,BUY,OPT,32757155,1473551.3,114492.3,353540541.1,136676853.7,61805.4,491553.094,15027417.1,11192884.36,0.744830884,0.386594571,2021_11_NOV
11/1/2021,SELL,OBL,1226685,10884.1,11810.57,2621579.8,4593631.3,4351.3,-733.886354,1039875.8,1068437.453,1.027466408,1.75223783,2021_11_NOV
11/1/2021,SELL,OPT,7478173,135667.4,49788.08,32957053.5,34746603.74,60092.9,38897.79237,14490875.5,15416748.16,1.063893493,1.054299461,2021_11_NOV
12/1/2021,BUY,OBL,9064768,203847.1,-3288039.46,51440532.8,-781309122.8,68146.7,75583.17386,16923373.6,15344672.29,0.90671474,-15.18858924,2021_12_DEC
12/1/2021,BUY,OPT,32905872,1295006.8,135090.21,326444602.4,133164606.3,91150.8,421774.8225,22751126.4,16780743.51,0.73757858,0.407924056,2021_12_DEC
12/1/2021,SELL,OBL,1237752,11006.8,13929.17,2733082.4,6468164.48,4123.9,3573.626053,1021119.2,970527.0784,0.950454245,2.366618906,2021_12_DEC
12/1/2021,SELL,OPT,7923312,139799.7,60916.9,35177973.6,41806981.14,64031.4,38115.66186,16137163.2,13884938.75,0.860432443,1.188441995,2021_12_DEC
1/1/2022,BUY,OBL,9352448,192591.9,-2365991.39,48313046.4,-573551407.7,54706,67091.94515,13527690.4,10418556.63,0.770165218,-11.8715637,2022_01_JAN
1/1/2022,BUY,OPT,35595720,1821502.9,112691.4,453325554.4,141643848.6,85348.3,444922.9957,21184928.8,15111374.46,0.713307777,0.312455028,2022_01_JAN
1/1/2022,SELL,OBL,1235176,11340.6,11359.12,2813419.2,5088794.664,2860.2,2279.229955,737208,653474.7747,0.886418453,1.808758063,2022_01_JAN
1/1/2022,SELL,OPT,9131048,130280.1,77545.72,32471376,41544599.49,50363.9,44050.38042,12513699.2,10804332.68,0.863400383,1.279422205,2022_01_JAN
2/1/2022,BUY,OBL,8781920,189924.6,-2363349.35,42585830.4,-521970023.5,60278,70096.02037,13551980.8,8198300.004,0.604952156,-12.25689434,2022_02_FEB
2/1/2022,BUY,OPT,35555456,2167201.9,137931.7,482396316.8,139073571.5,103954.6,483635.1076,23036681.6,14872202.23,0.645587871,0.288297333,2022_02_FEB
2/1/2022,SELL,OBL,1165216,12482.2,16493.93,2802905.6,3998847.04,4130.2,2876.537434,950729.6,140119.3799,0.147380896,1.426679172,2022_02_FEB
2/1/2022,SELL,OPT,8009696,133738.3,63608.76,29971174.4,33636360.51,55531.6,37663.97915,12362393.6,8718009.392,0.705203998,1.122290374,2022_02_FEB
3/1/2022,BUY,OBL,9871131,199075.7,-2752034.56,49496151.6,-657014832.3,52085.6,118678.7054,12426585.8,9546591.701,0.76823931,-13.27405891,2022_03_MAR
3/1/2022,BUY,OPT,42293500,1886263.1,169864.37,465089745,172155874.5,86240.2,599840.6006,21332453.6,15757880.34,0.738681102,0.370156247,2022_03_MAR
3/1/2022,SELL,OBL,1214692,11210.7,14155.01,2808405.1,5395969.777,3247,3901.836797,833424.6,1025178.317,1.230079262,1.92136447,2022_03_MAR
3/1/2022,SELL,OPT,8561693,133030.6,69383.84,32999762.9,37140021.13,60588,42121.18116,14952182.4,14674055.57,0.981398914,1.125463272,2022_03_MAR
4/1/2022,BUY,OBL,11501472,231836.4,-2853607.66,56437392,-642496448.3,52182.2,154561.9664,12369792,11403124.69,0.921852582,-11.38423349,2022_04_APR
4/1/2022,BUY,OPT,41410272,1960473.1,192419.77,464549937.6,204661517.2,101454.1,843963.2952,24557889.6,19746924.04,0.804096946,0.440558701,2022_04_APR
4/1/2022,SELL,OBL,1188096,11706,14638.93,2779488,5791272,4184.7,4832.135877,985627.2,1718245.385,1.743301509,2.083575104,2022_04_APR
4/1/2022,SELL,OPT,8186784,130880.5,73688.39,31632254.4,39463147.44,63316.7,55291.52645,15195988.8,17923530.53,1.179490902,1.247560384,2022_04_APR
5/1/2022,BUY,OBL,13817624,223213.1,-3448456.67,55968651.2,-1293715994,58356.3,140936.6021,14255398.4,22605484.62,1.585749061,-23.11501111,2022_05_MAY
5/1/2022,BUY,OPT,49123872,2166595.5,273476.61,533041955.2,258807696.4,98954.2,1084543.627,24535625.6,21659747.54,0.882787661,0.485529692,2022_05_MAY
5/1/2022,SELL,OBL,1150152,10544.8,20034.73,2579945.6,6827376.544,3236.8,7069.076596,793072.8,1722948.027,2.172496683,2.646325777,2022_05_MAY
5/1/2022,SELL,OPT,7337040,119814.3,87341.95,29814873.6,41311483.7,64580.5,56629.73861,16112456,22773645.11,1.413418606,1.385599827,2022_05_MAY
6/1/2022,BUY,OBL,10526896,207970.4,-2576253.74,50675179.2,-551418349,76267.2,157026.699,18102707.2,38375498.55,2.119876222,-10.88142869,2022_06_JUN
6/1/2022,BUY,OPT,41797824,1839952.3,255984.44,435404875.2,243967518.4,73777.1,1142481.536,17741851.2,23181162.9,1.306580843,0.56032335,2022_06_JUN
6/1/2022,SELL,OBL,1118672,9369.2,24309.27,2235537.6,7006366.368,2898.5,8154.415635,665568,153734.349,0.230982182,3.134085675,2022_06_JUN
6/1/2022,SELL,OPT,7449984,116813.8,99076.69,28092824,47640887.01,60927.9,63854.18696,14610286.4,18102748.52,1.239041318,1.695838304,2022_06_JUN
7/1/2022,BUY,OBL,10721096,185395.3,-3080486.87,46489126.4,-705539334.2,56089.8,87048.81578,13889570.4,23996248.71,1.727645134,-15.17643778,2022_07_JUL
7/1/2022,BUY,OPT,42723864,1755467.4,295636.75,434839336.8,223110682.1,83741.2,1080011.412,20543127.2,21007750.72,1.022616981,0.513087624,2022_07_JUL
7/1/2022,SELL,OBL,1199344,7327.6,17361.77,1805451.2,1987459.4,1564.3,3610.963193,404268.8,-337786.4346,-0.835549106,1.100810368,2022_07_JUL
7/1/2022,SELL,OPT,6882296,105935.4,80490.34,26395466.4,43467509.8,44603.2,50334.34229,11005124,10561113.79,0.959654229,1.64677938,2022_07_JUL
8/1/2022,BUY,OBL,12300064,225592.8,-3129304.66,56037206.4,-885459171.5,61358.7,130393.4867,15198033.6,16919910.51,1.113296033,-15.80127255,2022_08_AUG
8/1/2022,BUY,OPT,39878752,1855004.7,240114.01,461538741.6,188997505.1,78155.6,813552.3081,19139324.8,16266005.3,0.849873518,0.409494346,2022_08_AUG
8/1/2022,SELL,OBL,1194576,7975.8,6985.4,1970498.4,2197642.448,2305.9,4685.413641,622899.2,-41564.45332,-0.066727415,1.115272384,2022_08_AUG
8/1/2022,SELL,OPT,6848680,113510.4,63608.31,28170283.2,36699054.96,41095.5,41216.78494,10118244,9914625.356,0.979876089,1.302757757,2022_08_AUG
9/1/2022,BUY,OBL,12180000,232289.3,-3971363.98,55963704,-1261085051,58821,156638.2715,13927718.4,19657908.15,1.411423435,-22.53398115,2022_09_SEP
9/1/2022,BUY,OPT,49169856,2601026,214513.02,633399878.4,235928488.6,96181.2,962955.0575,22933795.2,20242015.92,0.882628267,0.372479529,2022_09_SEP
