Start Date,Class,Hedge Type,Time Of Use,Number Of Hours,Bid MW,Bid Price,Bid MWHs,Bid MWHs Bid Price,Awarded Mw,Clearing Price,Awarded MWHs,Awarded MWHs Clearing Price,Weighted Avg Clear Price,Weighted Avg Bid Price,Auction,Market ID
04/01/2021,BUY,OBL,Off-peak,339584,16265.4,-60687.68,4310680.0,-27909721.52,4096.2,1110.27,1096792.0,662416.69,0.6,-6.47,2021.1st6.AnnualAuction.Seq5,5145
04/01/2021,SELL,OPT,PeakWD,108160,1675.4,539.16,609430.4,1336551.04,550.9,523.32,193916.8,489176.05,2.52,2.19,2021.1st6.AnnualAuction.Seq5,5145
03/01/2021,BUY,OPT,Off-peak,1678335,57207.0,3319.72,17785101.8,9114961.1,6010.6,9399.96,1691025.4,1534271.37,0.91,0.51,2021.1st6.AnnualAuction.Seq5,5145
06/01/2021,BUY,OBL,PeakWD,517088,21487.3,-63981.99,7563529.6,-40237345.63,5335.4,2501.4,1878060.8,2612031.69,1.39,-5.32,2021.1st6.AnnualAuction.Seq5,5145
01/01/2021,BUY,OBL,PeakWE,1206608,37837.0,-63763.86,16560803.2,-18562129.86,6439.4,1956.56,2752003.2,2596268.74,0.94,-1.12,2021.1st6.AnnualAuction.Seq5,5145
04/01/2021,BUY,OPT,Off-peak,931264,57533.6,2552.4,14796685.6,8231402.79,6344.5,6916.46,1572651.2,1457799.19,0.93,0.56,2021.1st6.AnnualAuction.Seq5,5145
01/01/2021,BUY,OPT,PeakWD,44050224,290314.7,12275.2,367243617.6,97751847.3,11567.3,59902.65,12201132.8,6708531.19,0.55,0.27,2021.1st6.AnnualAuction.Seq5,5145
03/01/2021,SELL,OBL,PeakWD,44400,547.9,8.36,270302.4,68681.04,210.9,-33.86,105243.2,125352.26,1.19,0.25,2021.1st6.AnnualAuction.Seq5,5145
02/01/2021,BUY,OBL,PeakWD,396944,20780.0,-64283.38,6660971.2,-38555355.54,3576.9,880.56,1144608.0,850858.55,0.74,-5.79,2021.1st6.AnnualAuction.Seq5,5145
05/01/2021,BUY,OBL,PeakWE,409872,24992.7,-62456.95,5016174.4,-24789980.54,4479.1,2231.83,826606.4,630572.46,0.76,-4.94,2021.1st6.AnnualAuction.Seq5,5145
02/01/2021,SELL,OPT,PeakWD,85168,1385.0,313.73,443384.0,517518.4,236.1,259.73,75552.0,105408.2,1.4,1.17,2021.1st6.AnnualAuction.Seq5,5145
06/01/2021,SELL,OPT,PeakWE,28416,1433.3,430.52,183462.4,429217.28,456.2,294.79,58393.6,101001.84,1.73,2.34,2021.1st6.AnnualAuction.Seq5,5145
03/01/2021,SELL,OBL,PeakWE,14208,429.6,6.2,64908.8,19981.82,75.4,-96.08,12236.8,1923.44,0.16,0.31,2021.1st6.AnnualAuction.Seq5,5145
01/01/2021,BUY,OBL,PeakWD,2621008,41560.2,-70174.25,39384204.8,-28956129.01,6208.1,2946.21,5634262.4,7124356.47,1.26,-0.74,2021.1st6.AnnualAuction.Seq5,5145
